Letter,Standard,Mathematical Bold,Mathematical Italic,Mathematical Bold Italic,Mathematical Script,Mathematical Bold Script,Mathematical Fraktur,Mathematical Bold Fraktur,Mathematical Double-Struck,Mathematical Sans-Serif,Mathematical Sans-Serif Bold,Mathematical Sans-Serif Italic,Mathematical Sans-Serif Bold Italic,Mathematical Monospace,Fullwidth,Circled,Parenthesized,Squared,Regional Indicator,Superscript,Subscript,Small Caps
A,A,𝐀,𝐴,𝑨,𝒜,𝓐,𝔄,𝕬,𝔸,𝖠,𝗔,𝘈,𝘼,𝙰,Ａ,Ⓐ,🄐,🄰,🇦,ᴬ,ₐ,ᴀ
B,B,𝐁,𝐵,𝑩,ℬ,𝓑,𝔅,𝕭,𝔹,𝖡,𝗕,𝘉,𝘽,𝙱,Ｂ,Ⓑ,🄑,🄱,🇧,ᴮ,ᵦ,ʙ
C,C,𝐂,𝐶,𝑪,𝒞,𝓒,ℭ,𝕮,ℂ,𝖢,𝗖,𝘊,𝘾,𝙲,Ｃ,Ⓒ,🄒,🄲,🇨,ᶜ,ꜿ,ᴄ
D,D,𝐃,𝐷,𝑫,𝒟,𝓓,𝔇,𝕯,𝔻,𝖣,𝗗,𝘋,𝘿,𝙳,Ｄ,Ⓓ,🄓,🄳,🇩,ᴰ,ₔ,ᴅ
E,E,𝐄,𝐸,𝑬,ℰ,𝓔,𝔈,𝕰,𝔼,𝖤,𝗘,𝘌,𝙀,𝙴,Ｅ,Ⓔ,🄔,🄴,🇪,ᴱ,ₑ,ᴇ
F,F,𝐅,𝐹,𝑭,ℱ,𝓕,𝔉,𝕱,𝔽,𝖥,𝗙,𝘍,𝙁,𝙵,Ｆ,Ⓕ,🄕,🄵,🇫,ᶠ,ᵩ,ꜰ
G,G,𝐆,𝐺,𝑮,𝒢,𝓖,𝔊,𝕲,𝔾,𝖦,𝗚,𝘎,𝙂,𝙶,Ｇ,Ⓖ,🄖,🄶,🇬,ᴳ,ᵧ,ɢ
H,H,𝐇,𝐻,𝑯,ℋ,𝓗,ℌ,𝕳,ℍ,𝖧,𝗛,𝘏,𝙃,𝙷,Ｈ,Ⓗ,🄗,🄷,🇭,ᴴ,ₕ,ʜ
I,I,𝐈,𝐼,𝑰,ℐ,𝓘,ℑ,𝕴,𝕀,𝖨,𝗜,𝘐,𝙄,𝙸,Ｉ,Ⓘ,🄘,🄸,🇮,ᴵ,ᵢ,ɪ
J,J,𝐉,𝐽,𝑱,𝒥,𝓙,𝔍,𝕵,𝕁,𝖩,𝗝,𝘑,𝙅,𝙹,Ｊ,Ⓙ,🄙,🄹,🇯,ᴶ,ⱼ,ᴊ
K,K,𝐊,𝐾,𝑲,𝒦,𝓚,𝔎,𝕶,𝕂,𝖪,𝗞,𝘒,𝙆,𝙺,Ｋ,Ⓚ,🄚,🄺,🇰,ᴷ,ₖ,ᴋ
L,L,𝐋,𝐿,𝑳,ℒ,𝓛,𝔏,𝕷,𝕃,𝖫,𝗟,𝘓,𝙇,𝙻,Ｌ,Ⓛ,🄛,🄻,🇱,ᴸ,ₗ,ʟ
M,M,𝐌,𝑀,𝑴,ℳ,𝓜,𝔐,𝕸,𝕄,𝖬,𝗠,𝘔,𝙈,𝙼,Ｍ,Ⓜ,🄜,🄼,🇲,ᴹ,ₘ,ᴍ
N,N,𝐍,𝑁,𝑵,𝒩,𝓝,𝔑,𝕹,ℕ,𝖭,𝗡,𝘕,𝙉,𝙽,Ｎ,Ⓝ,🄝,🄽,🇳,ᴺ,ₙ,ɴ
O,O,𝐎,𝑂,𝑶,𝒪,𝓞,𝔒,𝕺,𝕆,𝖮,𝗢,𝘖,𝙊,𝙾,Ｏ,Ⓞ,🄞,🄾,🇴,ᴼ,ₒ,ᴏ
P,P,𝐏,𝑃,𝑷,𝒫,𝓟,𝔓,𝕻,ℙ,𝖯,𝗣,𝘗,𝙋,𝙿,Ｐ,Ⓟ,🄟,🄿,🇵,ᴾ,ₚ,ᴘ
Q,Q,𝐐,𝑄,𝑸,𝒬,𝓠,𝔔,𝕼,ℚ,𝖰,𝗤,𝘘,𝙌,𝚀,Ｑ,Ⓠ,🄠,🅀,🇶,Q,ₖₚ,ꞯ
R,R,𝐑,𝑅,𝑹,ℛ,𝓡,ℜ,𝕽,ℝ,𝖱,𝗥,𝘙,𝙍,𝚁,Ｒ,Ⓡ,🄡,🅁,🇷,ᴿ,ᵣ,ʀ
S,S,𝐒,𝑆,𝑺,𝒮,𝓢,𝔖,𝕾,𝕊,𝖲,𝗦,𝘚,𝙎,𝚂,Ｓ,Ⓢ,🄢,🅂,🇸,ˢ,ₛ,s
T,T,𝐓,𝑇,𝑻,𝒯,𝓣,𝔗,𝕿,𝕋,𝖳,𝗧,𝘛,𝙏,𝚃,Ｔ,Ⓣ,🄣,🅃,🇹,ᵀ,ₜ,ᴛ
U,U,𝐔,𝑈,𝑼,𝒰,𝓤,𝔘,𝖀,𝕌,𝖴,𝗨,𝘜,𝙐,𝚄,Ｕ,Ⓤ,🄤,🅄,🇺,ᵁ,ᵤ,ᴜ
V,V,𝐕,𝑉,𝑽,𝒱,𝓥,𝔙,𝖁,𝕍,𝖵,𝗩,𝘝,𝙑,𝚅,Ｖ,Ⓥ,🄥,🅅,🇻,ⱽ,ᵥ,ᴠ
